stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"200026","200026","Wynyard Station, Carrington St, Stand E","-33.86672522","151.20620624","","200080","1","Level 0",""
"200027","200027","Wynyard Station, Carrington St, Stand F","-33.86685189","151.20619086","","200080","1","Level 0",""
"200029","200029","Wynyard Station, York St, Stand H","-33.86687121","151.20588939","","200080","1","Level 0",""
"2000295","2000295","Wynyard Station, Clarence St, Stand T","-33.86701873","151.20500018","","200080","2","Level 0",""
"2000296","2000296","Central Station, Forecourt, Coach Bay 2","-33.88307332","151.20529211","","200060","2","Level 1",""
"2000308","2000308","Central Station, Forecourt, Coach Bay 4","-33.88325204","151.20454470","","200060","2","Level 1",""
"200031","200031","Wynyard Station, York St, Stand J","-33.86644056","151.20583583","","200080","1","Level 0",""
"2000316","2000316","Central Station, Forecourt, Coach Bay 6","-33.88267099","151.20493746","","200060","2","Level 1",""
"2000321","2000321","Central Station, Platform 1","-33.88316452","151.20552345","","200060","1","Level 1","1"
"2000322","2000322","Central Station, Platform 2","-33.88322379","151.20563440","","200060","1","Level 1","2"
"2000323","2000323","Central Station, Platform 3","-33.88325756","151.20570087","","200060","1","Level 1","3"
"2000324","2000324","Central Station, Platform 4","-33.88331683","151.20581181","","200060","1","Level 1","4"
"2000325","2000325","Central Station, Platform 5","-33.88335959","151.20587873","","200060","1","Level 1","5"
"2000326","2000326","Central Station, Platform 6","-33.88341813","151.20601124","","200060","1","Level 1","6"
"2000327","2000327","Central Station, Platform 7","-33.88345227","151.20606693","","200060","1","Level 1","7"
"2000328","2000328","Central Station, Platform 8","-33.88351154","151.20617788","","200060","1","Level 1","8"
"2000329","2000329","Central Station, Platform 9","-33.88355430","151.20624480","","200060","1","Level 1","9"
"200033","200033","Wynyard Station, York St, Stand K","-33.86618945","151.20580189","","200080","1","Level 0",""
"2000330","2000330","Central Station, Platform 10","-33.88362257","151.20635618","","200060","1","Level 1","10"
"2000331","2000331","Central Station, Platform 11","-33.88366496","151.20643388","","200060","1","Level 1","11"
"2000332","2000332","Central Station, Platform 12","-33.88371561","151.20653360","","200060","1","Level 1","12"
"2000333","2000333","Central Station, Platform 13","-33.88375800","151.20661130","","200060","1","Level 1","13"
"2000334","2000334","Central Station, Platform 14","-33.88380792","151.20673259","","200060","1","Level 1","14"
"2000336","2000336","Central Station, Platform 16","-33.88396650","151.20683761","","200060","1","Level 1","16"
"2000337","2000337","Central Station, Platform 17","-33.88400064","151.20689330","","200060","1","Level 1","17"
"2000338","2000338","Central Station, Platform 18","-33.88405165","151.20698224","","200060","1","Level 1","18"
"2000339","2000339","Central Station, Platform 19","-33.88409404","151.20705994","","200060","1","Level 1","19"
"200034","200034","Wynyard Station, York St, Stand L","-33.86595595","151.20577962","","200080","1","Level 0",""
"2000340","2000340","Central Station, Platform 20","-33.88413680","151.20712686","","200060","1","Level 1","20"
"2000341","2000341","Central Station, Platform 21","-33.88417883","151.20721535","","200060","1","Level 1","21"
"2000342","2000342","Central Station, Platform 22","-33.88422159","151.20728227","","200060","1","Level 1","22"
"2000343","2000343","Central Station, Platform 23","-33.88426398","151.20735997","","200060","1","Level 1","23"
"2000344","2000344","Central Station, Platform 24","-33.88515454","151.20687442","","200060","1","Level -2","24"
"2000345","2000345","Central Station, Platform 25","-33.88530745","151.20688194","","200060","1","Level -2","25"
"200035","200035","Wynyard Station, York St, Stand M","-33.86552531","151.20572607","","200080","1","Level 0",""
"200036","200036","Wynyard Station, York St, Stand N","-33.86537277","151.20570777","","200080","0","Level 0",""
"200039","200039","Central Station, Eddy Av, Stand A","-33.88220649","151.20666465","","200060","0","Level 0",""
"2000403","2000403","Wynyard Station, Platform 3","-33.86588510","151.20574374","","200080","1","Level -1","3"
"2000404","2000404","Wynyard Station, Platform 4","-33.86589741","151.20564714","","200080","1","Level -1","4"
"2000405","2000405","Wynyard Station, Platform 5","-33.86587021","151.20591582","","200080","1","Level -3","5"
"2000406","2000406","Wynyard Station, Platform 6","-33.86588141","151.20585156","","200080","1","Level -3","6"
"2000418","2000418","Wynyard Station, Jamison St, Stand U","-33.86443134","151.20504591","","200080","2","Level 0",""
"2000419","2000419","Wynyard Station, Kent St, Stand V","-33.86554350","151.20413928","","200080","2","Level 0",""
"200042","200042","QVB, York St, Stand B","-33.87227461","151.20648972","","2000171","0","Level 0",""
"2000428","2000428","Pitt St At Barlow St","-33.88130525","151.20614504","","G2000428","0","Level 0",""
"2000435","2000435","Wynyard Station, York St, Stand G","-33.86722053","151.20594975","","200080","1","Level 0",""
"2000447","2000447","Central Chalmers Street Light Rail","-33.88422630","151.20767140","","200060","1","Level 0","3"
"2000448","2000448","Central Chalmers Street Light Rail","-33.88419253","151.20760493","","200060","1","Level 0","1"
"2000454","2000454","Wynyard Light Rail","-33.86668194","151.20720857","","200080","1","Level 0","2"
"2000455","2000455","Wynyard Light Rail","-33.86667553","151.20713265","","200080","1","Level 0","1"
"2000466","2000466","Central Station, Platform 26","-33.88411728","151.20638050","","200060","1","Level -3",""
"2000467","2000467","Central Station, Platform 27","-33.88414242","151.20643575","","200060","1","Level -3",""
"200048","200048","Wynyard Station, York St, Stand P","-33.86475213","151.20567729","","200080","1","Level 0",""
"200051","200051","Central Station, Eddy Av, Stand B","-33.88229649","151.20745767","","200060","2","Level 0",""
"200053","200053","Central Station, Eddy Av, Stand C","-33.88212693","151.20714686","","200060","2","Level 0",""
"200054","200054","Central Station, Eddy Av, Stand D","-33.88204214","151.20699146","","200060","0","Level 0",""
"200060","","Central Station","-33.88402424","151.20620308","1","","0","",""
"200060_CNC1","","Grand Conc Country","-33.88260912","151.20621993","3","200060","","Level 1",""
"200060_CNC2","","Grand Conc Intercity","-33.88292275","151.20679709","3","200060","","Level 1",""
"200060_CNC3","","Concourse Eddy Av","-33.88305029","151.20701942","3","200060","","Level 1",""
"200060_CNCD","","Concourse Devonshire","-33.88519642","151.20670363","3","200060","","Level -1",""
"200060_CNCE","","Concourse ElizabSt","-33.88368219","151.20777428","3","200060","","Level 0",""
"200060_CNCM","","Metro Upper CONC","-33.88409265","151.20657374","3","200060","","Level -1",""
"200060_CWE","","Central Walk E","-33.88454982","151.20716878","3","200060","","Level -1",""
"200060_DP1","","Access To P8/9","-33.88296463","151.20662631","3","200060","","Level 1",""
"200060_DP10","","STR/LFT To P20/21","-33.88363597","151.20754515","3","200060","","Level 0",""
"200060_DP11","","STR/LFT To P22/23","-33.88370350","151.20767810","3","200060","","Level 0",""
"200060_DP12","","Ticket Gate E4","-33.88379963","151.20802852","3","200060","","Level -1",""
"200060_DP13","","L Concourse ElizabSt","-33.88375982","151.20787532","3","200060","","Level -1",""
"200060_DP14","","ESC To P24/25","-33.88400032","151.20769270","3","200060","","Level -1",""
"200060_DP15","","Ticket Gate ENT5","-33.88455439","151.20729864","3","200060","","Level -2",""
"200060_DP16","","Devonshire St T Sth","-33.88529905","151.20660065","3","200060","","Level -1",""
"200060_DP17","","STR To P22/23","-33.88501763","151.20666243","3","200060","","Level -1",""
"200060_DP18","","STR To P20/21","-33.88495947","151.20651914","3","200060","","Level -1",""
"200060_DP19","","STR To P18/19","-33.88486606","151.20635250","3","200060","","Level -1",""
"200060_DP2","","Access To P6/7","-33.88286185","151.20647002","3","200060","","Level 1",""
"200060_DP20","","STR To P16/17","-33.88478164","151.20618630","3","200060","","Level -1",""
"200060_DP21","","ESC To P24/25","-33.88508406","151.20682775","3","200060","","Level -1",""
"200060_DP22","","STR/LFT To CW","-33.88490873","151.20694876","3","200060","","Level 0",""
"200060_DP23","","Access To C Walk","-33.88482520","151.20702027","3","200060","","Level -1",""
"200060_DP24","","ESC/LFT To P22/23","-33.88440443","151.20720484","3","200060","","Level -1",""
"200060_DP25","","ESC/LFT To P20/21","-33.88432864","151.20704987","3","200060","","Level -1",""
"200060_DP26","","ESC/LFT To P18/19","-33.88425323","151.20688412","3","200060","","Level -1",""
"200060_DP27","","ESC/LFT To P16/17","-33.88417781","151.20671837","3","200060","","Level -1",""
"200060_DP28","","ESC To P22/23","-33.88465393","151.20702265","3","200060","","Level -1",""
"200060_DP29","","ESC To P20/21","-33.88455226","151.20683400","3","200060","","Level -1",""
"200060_DP3","","Access To P4/5","-33.88276881","151.20629260","3","200060","","Level 1",""
"200060_DP30","","ESC To P18/19","-33.88450272","151.20670193","3","200060","","Level -1",""
"200060_DP31","","ESC To P16/17","-33.88441794","151.20654652","3","200060","","Level -1",""
"200060_DP32","","LFT To EddyAv/Metro","-33.88351381","151.20690178","3","200060","","Level 1",""
"200060_DP33","","Central Walk North","-33.88361165","151.20693899","3","200060","","Level -1",""
"200060_DP34","","Central Walk West","-33.88388997","151.20670421","3","200060","","Level -1",""
"200060_DP35","","Central Walk SW","-33.88444773","151.20620230","3","200060","","Level -1",""
"200060_DP36","","ESC To 12/13 S","-33.88438130","151.20603699","3","200060","","Level -1",""
"200060_DP37","","STR To P10/11 S","-33.88431525","151.20586089","3","200060","","Level -1",""
"200060_DP38","","STR To P8/9 S","-33.88421321","151.20568303","3","200060","","Level -1",""
"200060_DP39","","STR To P6/7 S","-33.88412054","151.20549483","3","200060","","Level -1",""
"200060_DP4","","STR/ESC To EAv CNC","-33.88322769","151.20657443","3","200060","","Level 1",""
"200060_DP40","","STR To P4/5 S","-33.88402750","151.20531741","3","200060","","Level -1",""
"200060_DP41","","ESC To P26/27","-33.88418740","151.20643796","3","200060","","Level -1",""
"200060_DP42","","LFT/ESC To P26/27","-33.88384795","151.20661573","3","200060","","Level -1",""
"200060_DP43","","LFT/ESC To P12","-33.88410372","151.20625020","3","200060","","Level -1",""
"200060_DP44","","Chalmers St Mezz","-33.88479554","151.20762378","3","200060","","Level -1",""
"200060_DP45","","Access To P14","-33.88355731","151.20694713","3","200060","","Level 1",""
"200060_DP5","","Access To P10/11","-33.88340684","151.20660484","3","200060","","Level 1",""
"200060_DP6","","Access To P12/13","-33.88347437","151.20673779","3","200060","","Level 1",""
"200060_DP7","","Concourse Eddy Av","-33.88346405","151.20703976","3","200060","","Level 0",""
"200060_DP8","","STR/LFT To P16/17","-33.88350916","151.20730125","3","200060","","Level 0",""
"200060_DP9","","STR/LFT To P18/19","-33.88356843","151.20741219","3","200060","","Level 0",""
"200060_E4Str","","ENT4 NE Chalmrs/E","-33.88394096","151.20811109","2","200060","2","Level 0",""
"200060_ENT1","","ENT1 West Upper L","-33.88240910","151.20574559","2","200060","2","Level 1",""
"200060_ENT2","","ENT2 Pitt/Eddy","-33.88218563","151.20622072","2","200060","2","Level 0",""
"200060_ENT3","","ENT3 Eddy Av","-33.88313581","151.20715326","2","200060","2","Level 0",""
"200060_ENT4","","ENT4 NE Chalmrs/E","-33.88352116","151.20800402","2","200060","2","Level 0",""
"200060_ENT5","","ENT5 E Chalmers","-33.88474859","151.20741621","2","200060","2","Level 0",""
"200060_ENT6","","ENT3 Dev SE/Chlmr","-33.88549030","151.20680451","2","200060","2","Level 0",""
"200060_ENT7","","ENT7 Lee St/Dev W","-33.88399919","151.20430055","2","200060","2","Level -1",""
"200060_MZ","","TicketG Intercity","-33.88302353","151.20674804","3","200060","","Level 1",""
"200080","","Wynyard Station","-33.86594489","151.20610310","1","","0","",""
"200080_CNC","","Concourse","-33.86594585","151.20581153","3","200080","","Level -2",""
"200080_DP1","","LFT/ESC Wynyard Park","-33.86571140","151.20608082","3","200080","","Level 0",""
"200080_DP10","","Wyn Walk Kent St","-33.86522411","151.20399399","3","200080","","Level -3",""
"200080_DP11","","Acc To Exch Pl","-33.86539108","151.20306255","3","200080","","Level -2",""
"200080_DP12","","STR/ESC Plaza","-33.86523148","151.20377835","3","200080","","Level -2",""
"200080_DP13","","LFT Plaza","-33.86533500","151.20391303","3","200080","","Level -2",""
"200080_DP14","","LFT/ESC Clarence","-33.86561901","151.20509344","3","200080","","Level 0",""
"200080_DP2","","Ticket Gates E","-33.86592985","151.20601595","3","200080","","Level -2",""
"200080_DP3","","Acc Wyn Walk E","-33.86558053","151.20595559","3","200080","","Level -2",""
"200080_DP4","","Acc Wyn Walk W","-33.86561327","151.20552518","3","200080","","Level -2",""
"200080_DP5","","Ticket Gates W","-33.86597084","151.20560755","3","200080","","Level -2",""
"200080_DP6","","LFT To York St","-33.86597711","151.20542424","3","200080","","Level -2",""
"200080_DP7","","ESC To Concourse","-33.86559896","151.20541647","3","200080","","Level 0",""
"200080_DP8","","LFT/ESC To Wyn Walk","-33.86556468","151.20510157","3","200080","","Level -2",""
"200080_DP9","","Wyn Walk Clarence","-33.86548778","151.20497899","3","200080","","Level -3",""
"200080_ENT1","","Ent Carrington St","-33.86572202","151.20629736","2","200080","2","Level 0",""
"200080_ENT10","","ENT Exchange Pl","-33.86540029","151.20279299","2","200080","1","Level 0",""
"200080_ENT2","","ENT George St","-33.86581882","151.20715536","2","200080","1","Level 0",""
"200080_ENT3","","Ent York St","-33.86559233","151.20561055","2","200080","2","Level 0",""
"200080_ENT4","","ENT York Lane","-33.86561459","151.20522283","2","200080","2","Level 0",""
"200080_ENT5","","Ent Clarence St","-33.86563132","151.20499684","2","200080","2","Level 0",""
"200080_ENT6","","Ent Kent St","-33.86564518","151.20432789","2","200080","2","Level 0",""
"200080_ENT7","","Ent Wynyard Park","-33.86570683","151.20595099","2","200080","2","Level 0",""
"200080_ENT8","","LFT Kent St","-33.86530691","151.20394406","3","200080","","Level 0",""
"200080_ENT9","","STR/ESC Kent St","-33.86532217","151.20376120","3","200080","","Level -2",""
"200080_MEZCK","","Mez Clarence/Kent","-33.86548446","151.20507603","3","200080","","Level -1",""
"200080_MEZGT","","Mez George St Tunnel","-33.86579958","151.20692760","3","200080","","Level -2",""
"200080_MEZMS","","Mez Margaret St","-33.86514584","151.20602064","3","200080","","Level 0",""
"200080_MEZWL","","Mez Wyn Park Lifts","-33.86573875","151.20607137","3","200080","","Level -2",""
"200080_MEZWS","","Mez Wynyard St","-33.86700170","151.20602541","3","200080","","Level 0",""
"2010107","2010107","Central Chalmers Street Light Rail","-33.88425180","151.20771587","","200060","1","Level 0",""
"201016","201016","Central Station, Chalmers St, Stand G","-33.88625927","151.20671268","","200060","0","Level 0",""
"201039","201039","Central Station, Foveaux St, Stand F","-33.88392919","151.20924481","","200060","2","Level 0",""
"201080","201080","Central Station, Elizabeth St, Stand E","-33.88410522","151.20831362","","200060","2","Level 0",""
"201510","","Redfern Station","-33.89204769","151.19841906","1","","0","",""
"201510_CNC2","","CNC Gibbons","-33.89195048","151.19941905","3","201510","","Level 0",""
"201510_CNC3","","CNC Marian St","-33.89273203","151.19843104","3","201510","","Level 0",""
"201510_CNC4","","CNC Lt Eveleigh","-33.89208209","151.19767528","3","201510","","Level 1",""
"201510_DP1","","STR To P1","-33.89162877","151.19854975","3","201510","","Level 0",""
"201510_DP10","","STR/LFT To P8/9","-33.89239775","151.19845785","3","201510","","Level 0",""
"201510_DP11","","STR/LFT To P6/7","-33.89244588","151.19810368","3","201510","","Level 1",""
"201510_DP12","","STR/LFT To P4/5","-33.89234162","151.19799053","3","201510","","Level 1",""
"201510_DP13","","STR/LFT To P2/3","-33.89223737","151.19787737","3","201510","","Level 1",""
"201510_DP14","","STR/LFT To P1","-33.89213495","151.19771028","3","201510","","Level 1",""
"201510_DP2","","STR To P2/3","-33.89170604","151.19866158","3","201510","","Level 0",""
"201510_DP3","","STR To P4/5","-33.89172035","151.19877032","3","201510","","Level 0",""
"201510_DP4","","STR/LFT To P6/7","-33.89175007","151.19895545","3","201510","","Level 0",""
"201510_DP5","","STR To P8/9","-33.89187010","151.19913420","3","201510","","Level 0",""
"201510_DP6","","STR To P10","-33.89191855","151.19929864","3","201510","","Level 0",""
"201510_DP7","","ESC To P11/12","-33.89203033","151.19945538","3","201510","","Level 0",""
"201510_DP8","","STR/LFT To P10","-33.89262814","151.19830710","3","201510","","Level 1",""
"201510_DP9","","Acc To P8/9","-33.89254151","151.19820561","3","201510","","Level 1",""
"201510_ENT1","","ENT Lawson St","-33.89160047","151.19885087","2","201510","2","Level 0",""
"201510_ENT2","","ENT Gibbons","-33.89179388","151.19951940","2","201510","1","Level 0",""
"201510_ENT3","","ENT Rosehill St","-33.89277774","151.19841168","2","201510","1","Level 0",""
"201510_ENT4","","ENT Lt Eveleigh St","-33.89200902","151.19770410","2","201510","1","Level 0",""
"2015131","2015131","Redfern Station, Platform 1","-33.89191150","151.19818549","","201510","1","Level -1","1"
"2015132","2015132","Redfern Station, Platform 2","-33.89197263","151.19824251","","201510","1","Level -1","2"
"2015133","2015133","Redfern Station, Platform 3","-33.89199850","151.19827619","","201510","1","Level -1","3"
"2015134","2015134","Redfern Station, Platform 4","-33.89205926","151.19834400","","201510","1","Level -1","4"
"2015135","2015135","Redfern Station, Platform 5","-33.89211176","151.19838979","","201510","1","Level -1","5"
"2015136","2015136","Redfern Station, Platform 6","-33.89216351","151.19845716","","201510","1","Level -1","6"
"2015137","2015137","Redfern Station, Platform 7","-33.89220665","151.19851329","","201510","1","Level -1","7"
"2015138","2015138","Redfern Station, Platform 8","-33.89227640","151.19858154","","201510","1","Level -1","8"
"2015139","2015139","Redfern Station, Platform 9","-33.89231990","151.19862689","","201510","1","Level -1","9"
"2015140","2015140","Redfern Station, Platform 10","-33.89238065","151.19869470","","201510","1","Level -1","10"
"2015141","2015141","Redfern Station, Platform 11","-33.89227945","151.19928395","","201510","2","Level -3","11"
"2015142","2015142","Redfern Station, Platform 12","-33.89230385","151.19936077","","201510","2","Level -3","12"
"201631","201631","Redfern Station, Gibbons St, Stand A","-33.89229228","151.19943583","","201510","1","Level 0",""
"201646","201646","Redfern Station, Gibbons St, Stand B","-33.89332931","151.19888172","","201510","0","Level 0",""
"203957","203957","White Bay Power Station, Robert St","-33.86607836","151.17679666","","G203957","0","",""
"204210","","Newtown Station","-33.89791301","151.17937737","1","","0","",""
"204210_CNC","","Concourse","-33.89803417","151.17952375","3","204210","","Level 0",""
"204210_DP1","","Acc To CNC","-33.89802958","151.17939387","3","204210","","Level 0",""
"204210_DP2","","LFT To P1/2","-33.89791651","151.17953961","3","204210","","Level 0",""
"204210_DP3","","STR To P1/2","-33.89791357","151.17962591","3","204210","","Level 0",""
"204210_DP4","","Acc To Railway Lane","-33.89810447","151.17931109","3","204210","","Level 0",""
"204210_ENT1","","ENT King St","-33.89796089","151.17876384","2","204210","1","Level 0",""
"204210_ENT2","","STR/LFT Railway Lane","-33.89818726","151.17926112","2","204210","1","Level -1",""
"204211","204211","Newtown Station, King St, Stand D","-33.89744764","151.17901968","","204210","0","Level 0",""
"204226","204226","Newtown Station, King St, Stand C","-33.89813233","151.17849129","","204210","1","Level 0",""
"204238","204238","Newtown Station, King St, Stand B","-33.89816664","151.17827687","","204210","1","Level 0",""
"204243","204243","Newtown Station, Enmore Rd, Stand A","-33.89774461","151.17823464","","204210","0","Level 0",""
"204261","204261","Newtown Station, Platform 1","-33.89787889","151.17985111","","204210","1","Level -1","1"
"204262","204262","Newtown Station, Platform 2","-33.89794185","151.17985419","","204210","1","Level -1","2"
"204313","204313","Erskineville Rd At Charles St","-33.89971326","151.18472738","","G204313","0","Level 0",""
"204320","204320","Erskineville Rd At Prospect St","-33.89968535","151.18395887","","G204320","0","Level 0",""
"204420","","Sydenham Station","-33.91445896","151.16652644","1","","0","",""
"204420_CNC","","Concourse","-33.91479133","151.16602391","3","204420","","Level 1",""
"204420_CNC2","","P6 Concourse","-33.91432688","151.16723325","3","204420","","Level 0",""
"204420_CNC3","","P1 Concourse","-33.91364179","151.16724308","3","204420","","Level 0",""
"204420_DP1","","STR/LFT To P1 S","-33.91461655","151.16586409","3","204420","","Level 1",""
"204420_DP2","","STR/LFT To P2/3 S","-33.91471257","151.16595522","3","204420","","Level 1",""
"204420_DP3","","STR/LFT To P4/5 S","-33.91487836","151.16611460","3","204420","","Level 1",""
"204420_DP4","","STR To P6 S","-33.91496612","151.16618372","3","204420","","Level 1",""
"204420_DP5","","STR/LFT To P6 S","-33.91500963","151.16622907","3","204420","","Level 1",""
"204420_DP6","","STR/LFT To P6 N","-33.91425382","151.16726211","3","204420","","Level 1",""
"204420_DP7","","STR/LFT To P4/5 N","-33.91414917","151.16715975","3","204420","","Level 1",""
"204420_DP8","","STR/LFT To P2/3 N","-33.91400964","151.16702326","3","204420","","Level 1",""
"204420_DP9","","STR/LFT To P1 N","-33.91387837","151.16690879","3","204420","","Level 1",""
"204420_ENT1","","ENT Gleeson Av","-33.91482951","151.16596092","2","204420","1","Level 1",""
"204420_ENT2","","ENT Burrows Av","-33.91437039","151.16727860","2","204420","1","Level 0",""
"204420_ENT3","","ENT Railway Pde","-33.91356303","151.16717439","2","204420","1","Level 0",""
"204421","204421","Sydenham Station, Burrows Av, Stand A","-33.91525667","151.16585206","","204420","0","Level 0",""
"204439","204439","Sydenham Station, Gleeson Av, Stand E","-33.91544930","151.16628293","","204420","0","Level 0",""
"204453","204453","Burrows Av Opp Sydenham Station","-33.91483514","151.16685818","","204420","1","Level 0",""
"204454","204454","Sydenham Station, Burrows Av","-33.91457926","151.16696458","","204420","1","Level 0",""
"204471","204471","Sydenham Station, Platform 1","-33.91370658","151.16719220","","204420","1","Level 0","1"
"204472","204472","Sydenham Station, Platform 2","-33.91379507","151.16723974","","204420","1","Level 0","2"
"204473","204473","Sydenham Station, Platform 3","-33.91430202","151.16663766","","204420","1","Level 0","3"
"204474","204474","Sydenham Station, Platform 4","-33.91439840","151.16671801","","204420","1","Level 0","4"
"204475","204475","Sydenham Station, Platform 5","-33.91448616","151.16678713","","204420","1","Level 0","5"
"204476","204476","Sydenham Station, Platform 6","-33.91456456","151.16686660","","204420","1","Level 0","6"
"204810","","Stanmore Station","-33.89447424","151.16414803","1","","0","",""
"204810_DP1","","PDT Trafalgar St","-33.89461232","151.16432762","3","204810","","Level -1",""
"204810_DP2","","PDT To P1/2","-33.89445186","151.16427659","3","204810","","Level -1",""
"204810_DP3","","PDT Douglas St","-33.89418456","151.16418795","3","204810","","Level -1",""
"204810_ENT1","","ENT Trafalgar St","-33.89467469","151.16408216","2","204810","1","Level 0",""
"204810_ENT2","","ENT Douglas St","-33.89411297","151.16417366","2","204810","1","Level 0",""
"204811","204811","Stanmore Station, Douglas St","-33.89415712","151.16366800","","204810","0","Level 0",""
"204816","204816","Percival Rd Opp Stanmore Station","-33.89365458","151.16414053","","204810","0","Level 0",""
"204831","204831","Stanmore Station, Platform 1","-33.89443364","151.16401640","","204810","1","Level 0","1"
"204832","204832","Stanmore Station, Platform 2","-33.89454985","151.16404367","","204810","1","Level 0","2"
"204833","204833","Stanmore Station, Platform 3","-33.89463117","151.16403682","","204810","1","Level 0","3"
"204910","","Petersham Station","-33.89386331","151.15557204","1","","0","",""
"204910_DP1","","FTB Trafalgar","-33.89395642","151.15574943","3","204910","","Level 1",""
"204910_DP2","","STR/LFT To P1/2","-33.89384884","151.15573340","3","204910","","Level 1",""
"204910_DP3","","FTB Terminus","-33.89358907","151.15568837","3","204910","","Level 1",""
"204910_ENT1","","STR Trafalgar St","-33.89399459","151.15568646","2","204910","2","Level 0",""
"204910_ENT2","","RMP Trafalgar St","-33.89395023","151.15593281","2","204910","1","Level 0",""
"204910_ENT3","","STR Terminus St","-33.89354847","151.15555674","2","204910","2","Level 0",""
"204910_ENT4","","LFT Terminus","-33.89357789","151.15575265","2","204910","1","Level 0",""
"204910_KAR1","","KAR Terminus","-33.89353996","151.15527542","","204910","","Level 0",""
"204910_TXI1","","TXI Trafalgar St","-33.89411809","151.15549798","","204910","","Level 0",""
"204911","204911","Petersham Station, Trafalgar St","-33.89392130","151.15625553","","204910","0","Level 0",""
"204912","204912","Trafalgar St Opp Petersham Station","-33.89449940","151.15487905","","204910","0","Level 0",""
"204918","204918","Lewisham Station, Railway Tce","-33.89368305","151.14836757","","204920","0","Level 0",""
"204920","","Lewisham Station","-33.89341703","151.14770641","1","","0","",""
"204920_DP1","","PDT Victoria St","-33.89354733","151.14758307","3","204920","","Level -1",""
"204920_DP2","","PDT To P2","-33.89345628","151.14761107","3","204920","","Level -1",""
"204920_DP3","","PDT To P1","-33.89332853","151.14765890","3","204920","","Level -1",""
"204920_DP4","","PDT Thomas St","-33.89315507","151.14772612","3","204920","","Level -1",""
"204920_ENT1","","STR Victoria St","-33.89362938","151.14755464","2","204920","2","Level 0",""
"204920_ENT2","","STR Thomas St","-33.89311409","151.14760528","2","204920","2","Level 0",""
"204927","204927","Railway Tce Opp Lewisham Station","-33.89388948","151.14865850","","204920","0","Level 0",""
"204972","204972","Lewisham Station, Victoria St","-33.89381937","151.14753144","","204920","1","Level 0",""
"204981","204981","Lewisham Station, Platform 1","-33.89330663","151.14750658","","204920","2","Level 0","1"
"204982","204982","Lewisham Station, Platform 2","-33.89338005","151.14746692","","204920","2","Level 0","2"
"204991","204991","Petersham Station, Platform 1","-33.89384568","151.15556038","","204910","1","Level 0","1"
"204992","204992","Petersham Station, Platform 2","-33.89389929","151.15557379","","204910","1","Level 0","2"
"206710","","Chatswood Station","-33.79723668","151.18093364","1","","0","",""
"206710_CNC","","Concourse","-33.79729964","151.18093671","3","206710","","Level -1",""
"206710_DP10","","Acc To Railway St","-33.79689669","151.18086312","3","206710","","Level -1",""
"206710_DP11","","Acc To Shop Arcade","-33.79698182","151.18047876","3","206710","","",""
"206710_DP12","","Shop Arcade S","-33.79756182","151.18117611","3","206710","","Level -1",""
"206710_DP2","","Acc To LFT/ESC","-33.79743494","151.18093251","3","206710","","Level -1",""
"206710_DP3","","LFT/ESC To P1/2","-33.79743201","151.18101870","3","206710","","Level -1",""
"206710_DP4","","LFT/ESC To P3/4","-33.79742887","151.18084587","3","206710","","Level -1",""
